Symbol,Industry,gt_10pc_gth,future_price_gth,Stacked_mdl_prob,nn_mdl_prob,avg_mdl_prob,Top30_ret,Top100_ret,largest_drawdown,Top30_ret_ddown
CSOD,Software-Application,1.0,0.18581907090464553,0.56157935,0.4899366,0.52575797,0.06268903518696232,0.05594483796721389,-0.4851629641640992,0.05303723510093251
KTOS,Aerospace & Defense,0.0,-0.021477015825169567,0.7038332,0.6036065,0.6537199,0.06268903518696232,0.05594483796721389,-0.49365079365079356,0.05303723510093251
CALX,Software-Application,1.0,0.5314569536423841,0.6718276,0.60727745,0.63955253,0.06268903518696232,0.05594483796721389,-0.5109780439121755,0.05303723510093251
HSKA,Diagnostics & Research,1.0,0.1744144359464627,0.4976151,0.58312154,0.5403683,0.06268903518696232,0.05594483796721389,-0.5119583443650163,0.05303723510093251
GOLD,Gold,0.0,0.05775733802245378,0.3800232,0.8395262,0.6097747,0.06268903518696232,0.05594483796721389,-0.5150523242844811,0.05303723510093251
BLDP,Specialty Industrial Machinery,0.0,-0.5024875621890548,0.5262197,0.54825747,0.5372386,0.06268903518696232,0.05594483796721389,-0.522,0.05303723510093251
DXCM,Diagnostics & Research,0.0,0.02150193410697613,0.46339294,0.59602076,0.52970684,0.06268903518696232,0.05594483796721389,-0.5223072020395156,0.05303723510093251
VCRA,Communication Equipment,0.0,-0.22389078498293521,0.40534198,0.6417948,0.5235684,0.06268903518696232,0.05594483796721389,-0.5355218030377265,0.05303723510093251
CANG,Internet Content & Information,0.0,-0.58798000329616,0.5401304,0.4877379,0.51393414,0.06268903518696232,0.05594483796721389,-0.5379185306770515,0.05303723510093251
KRUS,Restaurants,1.0,0.6701986754966888,0.48263848,0.55349106,0.51806474,0.06268903518696232,0.05594483796721389,-0.5389360061680801,0.05303723510093251
MIXT,Software-Application,1.0,0.10789702053803883,0.54412884,0.58402807,0.56407845,0.06268903518696232,0.05594483796721389,-0.5490258530870928,0.05303723510093251
PCOM,Internet Content & Information,1.0,0.28739867354458354,0.52956825,0.59871906,0.56414366,0.06268903518696232,0.05594483796721389,-0.5512282804074298,0.05303723510093251
SA,Gold,0.0,-0.025244719216898425,0.2942298,0.8032225,0.54872614,0.06268903518696232,0.05594483796721389,-0.5618221258134491,0.05303723510093251
IPGP,Semiconductor Equipment & Materials,0.0,-0.06427068880633761,0.43484062,0.5878967,0.51136863,0.06268903518696232,0.05594483796721389,-0.5622941059734072,0.05303723510093251
TREE,Mortgage Finance,0.0,-0.38857827476038337,0.4741148,0.79201204,0.63306344,0.06268903518696232,0.05594483796721389,-0.5633883294050424,0.05303723510093251
BZUN,Internet Retail,0.0,-0.15759941449133935,0.46456003,0.7136939,0.58912694,0.06268903518696232,0.05594483796721389,-0.5679334529440547,0.05303723510093251
TTGT,Internet Content & Information,0.0,-0.10562248995983936,0.38543978,0.69184667,0.53864324,0.06268903518696232,0.05594483796721389,-0.5703729767769177,0.05303723510093251
PNTG,Medical Care Facilities,0.0,-0.37400037195462166,0.76262975,0.49466562,0.6286477,0.06268903518696232,0.05594483796721389,-0.5718173571212579,0.05303723510093251
SRDX,Diagnostics & Research,1.0,0.13208791208791204,0.55534756,0.5803225,0.56783503,0.06268903518696232,0.05594483796721389,-0.5768888888888888,0.05303723510093251
CTK,Software-Application,0.0,-0.386986301369863,0.9077971,0.7212737,0.8145354,0.06268903518696232,0.05594483796721389,-0.5801199657240788,0.05303723510093251
IOVA,Biotechnology,0.0,-0.5912408759124087,0.6443571,0.4895045,0.5669308,0.06268903518696232,0.05594483796721389,-0.5805119735755573,0.05303723510093251
KOR,Gold,1.0,0.3638443935926773,0.36585203,0.9179289,0.64189047,0.06268903518696232,0.05594483796721389,-0.5933980582524272,0.05303723510093251
PRO,Software-Application,1.0,0.13478879924062648,0.57568556,0.6095652,0.5926254,0.06268903518696232,0.05594483796721389,-0.6000727802037847,0.05303723510093251
CEA,Airlines,1.0,0.1066799601196411,0.5056561,0.52431774,0.51498693,0.06268903518696232,0.05594483796721389,-0.609040803932578,0.05303723510093251
SAIA,Trucking,1.0,0.18925035360678918,0.4931746,0.559641,0.52640784,0.06268903518696232,0.05594483796721389,-0.6136199421965318,0.05303723510093251
VTR,REIT-Healthcare Facilities,1.0,0.24243180415282162,0.52250946,0.6252964,0.57390296,0.06268903518696232,0.05594483796721389,-0.6169909450078496,0.05303723510093251
PAR,Software-Application,0.0,0.04111789270799864,0.59727716,0.6198642,0.6085707,0.06268903518696232,0.05594483796721389,-0.6220981486923303,0.05303723510093251
BMRA,Diagnostics & Research,0.0,-0.4573529411764706,0.643639,0.57166076,0.6076499,0.06268903518696232,0.05594483796721389,-0.6255506607929515,0.05303723510093251
TDOC,Health Information Services,0.0,-0.44445286737671985,0.47984686,0.6802985,0.5800727,0.06268903518696232,0.05594483796721389,-0.627039627039627,0.05303723510093251
ETSY,Internet Retail,0.0,-0.17534783263850517,0.46456003,0.66192263,0.56324136,0.06268903518696232,0.05594483796721389,-0.6276391554702494,0.05303723510093251
LINX,Software-Application,1.0,0.10000000000000009,0.9077971,0.7582094,0.8330033,0.06268903518696232,0.05594483796721389,-0.6301330547487574,0.05303723510093251
ENV,Software-Application,0.0,0.03479734132673011,0.67936766,0.5613157,0.62034166,0.06268903518696232,0.05594483796721389,-0.6342724679029956,0.05303723510093251
